nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:371 reward:692.20884971394 avg_reward:692.2088497139398 time_step371
EP:372 reward:692.20884971394 avg_reward:692.2088497139398 time_step372
EP:373 reward:692.20884971394 avg_reward:692.2088497139398 time_step373
EP:374 reward:692.20884971394 avg_reward:692.2088497139398 time_step374
EP:375 reward:692.20884971394 avg_reward:692.2088497139398 time_step375
EP:376 reward:692.20884971394 avg_reward:692.2088497139398 time_step376
EP:377 reward:692.20884971394 avg_reward:692.2088497139398 time_step377
EP:378 reward:692.20884971394 avg_reward:692.2088497139398 time_step378
EP:379 reward:692.20884971394 avg_reward:692.2088497139398 time_step379
EP:380 reward:692.20884971394 avg_reward:692.2088497139398 time_step380
EP:381 reward:692.20884971394 avg_reward:692.2088497139398 time_step381
EP:382 reward:692.20884971394 avg_reward:692.2088497139398 time_step382
EP:383 reward:692.20884971394 avg_reward:692.2088497139398 time_step383
EP:384 reward:692.20884971394 avg_reward:692.2088497139398 time_step384
EP:385 reward:692.20884971394 avg_reward:692.2088497139398 time_step385
EP:386 reward:692.20884971394 avg_reward:692.2088497139398 time_step386
EP:387 reward:692.20884971394 avg_reward:692.2088497139398 time_step387
EP:388 reward:692.20884971394 avg_reward:692.2088497139398 time_step388
EP:389 reward:692.20884971394 avg_reward:692.2088497139398 time_step389
EP:390 reward:692.20884971394 avg_reward:692.2088497139398 time_step390
EP:391 reward:692.20884971394 avg_reward:692.2088497139398 time_step391
EP:392 reward:692.20884971394 avg_reward:692.2088497139398 time_step392
EP:393 reward:692.20884971394 avg_reward:692.2088497139398 time_step393
EP:394 reward:692.20884971394 avg_reward:692.2088497139398 time_step394
EP:395 reward:692.20884971394 avg_reward:692.2088497139398 time_step395
