nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-c/model create successfully!
=========================== finish pre train! ===========================
EP:342 reward:741.9104314850664 avg_reward:741.9104314850665 time_step342
EP:343 reward:741.9104314850664 avg_reward:741.9104314850665 time_step343
EP:344 reward:741.9104314850664 avg_reward:741.9104314850665 time_step344
EP:345 reward:741.9104314850664 avg_reward:741.9104314850665 time_step345
EP:346 reward:741.9104314850664 avg_reward:741.9104314850665 time_step346
EP:347 reward:741.9104314850664 avg_reward:741.9104314850665 time_step347
EP:348 reward:741.9104314850664 avg_reward:741.9104314850665 time_step348
EP:349 reward:741.9104314850664 avg_reward:741.9104314850665 time_step349
EP:350 reward:741.9104314850664 avg_reward:741.9104314850665 time_step350
EP:351 reward:741.9104314850664 avg_reward:741.9104314850665 time_step351
EP:352 reward:741.9104314850664 avg_reward:741.9104314850665 time_step352
EP:353 reward:741.9104314850664 avg_reward:741.9104314850665 time_step353
EP:354 reward:741.9104314850664 avg_reward:741.9104314850665 time_step354
EP:355 reward:741.9104314850664 avg_reward:741.9104314850665 time_step355
EP:356 reward:741.9104314850664 avg_reward:741.9104314850665 time_step356
EP:357 reward:741.9104314850664 avg_reward:741.9104314850665 time_step357
EP:358 reward:741.9104314850664 avg_reward:741.9104314850665 time_step358
EP:359 reward:741.9104314850664 avg_reward:741.9104314850665 time_step359
EP:360 reward:741.9104314850664 avg_reward:741.9104314850665 time_step360
EP:361 reward:741.9104314850664 avg_reward:741.9104314850665 time_step361
EP:362 reward:741.9104314850664 avg_reward:741.9104314850665 time_step362
EP:363 reward:741.9104314850664 avg_reward:741.9104314850665 time_step363
EP:364 reward:741.9104314850664 avg_reward:741.9104314850665 time_step364
EP:365 reward:741.9104314850664 avg_reward:741.9104314850665 time_step365
EP:366 reward:741.9104314850664 avg_reward:741.9104314850665 time_step366
EP:367 reward:741.9104314850664 avg_reward:741.9104314850665 time_step367
EP:368 reward:741.9104314850664 avg_reward:741.9104314850665 time_step368
EP:369 reward:741.9104314850664 avg_reward:741.9104314850665 time_step369
EP:370 reward:741.9104314850664 avg_reward:741.9104314850665 time_step370
EP:371 reward:741.9104314850664 avg_reward:741.9104314850665 time_step371
EP:372 reward:741.9104314850664 avg_reward:741.9104314850665 time_step372
EP:373 reward:741.9104314850664 avg_reward:741.9104314850665 time_step373
EP:374 reward:741.9104314850664 avg_reward:741.9104314850665 time_step374
EP:375 reward:741.9104314850664 avg_reward:741.9104314850665 time_step375
EP:376 reward:741.9104314850664 avg_reward:741.9104314850665 time_step376
EP:377 reward:741.9104314850664 avg_reward:741.9104314850665 time_step377
EP:378 reward:741.9104314850664 avg_reward:741.9104314850665 time_step378
EP:379 reward:741.9104314850664 avg_reward:741.9104314850665 time_step379
EP:380 reward:741.9104314850664 avg_reward:741.9104314850665 time_step380
EP:381 reward:741.9104314850664 avg_reward:741.9104314850665 time_step381
EP:382 reward:741.9104314850664 avg_reward:741.9104314850665 time_step382
EP:383 reward:741.9104314850664 avg_reward:741.9104314850665 time_step383
EP:384 reward:741.9104314850664 avg_reward:741.9104314850665 time_step384
EP:385 reward:741.9104314850664 avg_reward:741.9104314850665 time_step385
EP:386 reward:741.9104314850664 avg_reward:741.9104314850665 time_step386
EP:387 reward:741.9104314850664 avg_reward:741.9104314850665 time_step387
EP:388 reward:741.9104314850664 avg_reward:741.9104314850665 time_step388
EP:389 reward:741.9104314850664 avg_reward:741.9104314850665 time_step389
