nohup: ignoring input
=========================== finish pre train! ===========================
EP:277 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13850
EP:278 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13900
EP:279 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step13950
EP:280 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14000
EP:281 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14050
EP:282 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14100
EP:283 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14150
EP:284 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14200
EP:285 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14250
EP:286 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14300
EP:287 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14350
EP:288 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14400
EP:289 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14450
EP:290 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14500
EP:291 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14550
EP:292 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14600
EP:293 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14650
EP:294 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14700
EP:295 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14750
EP:296 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14800
EP:297 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14850
EP:298 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14900
EP:299 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step14950
EP:300 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15000
EP:301 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15050
EP:302 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15100
EP:303 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15150
EP:304 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15200
EP:305 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15250
EP:306 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15300
EP:307 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15350
EP:308 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15400
EP:309 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15450
EP:310 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15500
EP:311 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15550
EP:312 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15600
EP:313 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15650
EP:314 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15700
EP:315 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15750
EP:316 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15800
EP:317 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15850
EP:318 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15900
EP:319 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step15950
EP:320 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16000
EP:321 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16050
EP:322 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16100
EP:323 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16150
EP:324 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16200
EP:325 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16250
EP:326 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16300
EP:327 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16350
EP:328 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16400
EP:329 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16450
EP:330 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16500
EP:331 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16550
EP:332 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16600
EP:333 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16650
EP:334 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16700
EP:335 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16750
EP:336 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16800
EP:337 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16850
EP:338 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16900
EP:339 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step16950
EP:340 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17000
EP:341 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17050
EP:342 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17100
EP:343 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17150
EP:344 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17200
EP:345 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17250
EP:346 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17300
EP:347 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17350
EP:348 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17400
EP:349 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17450
EP:350 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17500
EP:351 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17550
EP:352 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17600
EP:353 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17650
EP:354 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17700
EP:355 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17750
EP:356 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17800
EP:357 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17850
EP:358 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17900
EP:359 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step17950
EP:360 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18000
EP:361 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18050
EP:362 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18100
EP:363 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18150
EP:364 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18200
EP:365 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step18250
